Henderson Terrace,Gorgie City Farm,1
Gorgie City Farm,Tynecastle,1
Tynecastle,Stewart Terrace,1
Stewart Terrace,Westfield Road,1
Westfield Road,Westfield Avenue,1
Westfield Avenue,Stevenson Grove,1
Stevenson Grove,Balgreen Primary School,1
Balgreen Primary School,Whitson Crescent,1
Whitson Crescent,Whitson Grove,1
Whitson Grove,Stenhouse Cross,1
Stenhouse Cross,Stenhouse Grove,1
Stenhouse Grove,Saughton Mains Street,1
Saughton Mains Street,Saughton Road North,1
Saughton Road North,Saughton Tram stop,1
Saughton Tram stop,Broomhall Avenue,1
Broomhall Avenue,Broomfield Crescent,1
Broomfield Crescent,Castle Avenue,1
Castle Avenue,Orchardfield Avenue,1
Orchardfield Avenue,Featherhall Avenue,1
Featherhall Avenue,Dunsmuir Court,1
Dunsmuir Court,Meadowplace Road,1
Meadowplace Road,Templeland Road,1
Templeland Road,Pearce Road,1
Pearce Road,Drum Brae Gardens,1
Drum Brae Gardens,Drum Brae Avenue,1
Drum Brae Avenue,Duart Crescent,1
Duart Crescent,Drum Brae North_1,1
Drum Brae North_1,Drum Brae Drive,1
Drum Brae Drive,Hoseason Gardens,1
Hoseason Gardens,Drum Brae Hub,1
Drum Brae Hub,Clermiston View,1
Clermiston View,Clermiston Crescent,1
